,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
74,184.59642593704282,1476.7714074963426,70.9182391166687,75,13000,104000,74.26326489448547,16.0,8.0,8.0,10,80,150.12144470214844
75,188.29402445490047,1506.3521956392037,71.98040771484375,76,13200,105600,75.09841799736023,16.0,8.0,8.0,10,80,152.09995031356812
76,192.38549901933624,1539.08399215469,73.01998710632324,77,13400,107200,75.90715742111206,16.0,8.0,8.0,10,80,154.02933073043823
77,176.8642561908545,1414.914049526836,74.1507978439331,78,13600,108800,76.7368516921997,16.0,8.0,8.0,10,80,156.0454456806183
78,184.78880685704468,1478.3104548563574,75.23311448097229,79,13800,110400,77.44111061096191,16.0,8.0,8.0,10,80,157.88508582115173
79,186.60222816452816,1492.8178253162253,76.30491304397583,80,14000,112000,78.22474884986877,16.0,8.0,8.0,10,80,159.8182852268219
80,190.1429323318837,1521.1434586550697,77.3567533493042,81,14200,113600,79.03333520889282,16.0,8.0,8.0,10,80,161.7314794063568
81,178.11875804082717,1424.9500643266174,78.47959971427917,82,14400,115200,79.79414629936218,16.0,8.0,8.0,10,80,163.66787123680115
82,195.2914154598223,1562.3313236785784,79.50371026992798,83,14600,116800,80.57686305046082,16.0,8.0,8.0,10,80,165.5364284515381
83,189.9723260185248,1519.7786081481984,80.55649518966675,84,14800,118400,81.3387405872345,16.0,8.0,8.0,10,80,167.40317249298096
84,192.51177064027326,1540.094165122186,81.59539270401001,85,15000,120000,82.14530420303345,16.0,8.0,8.0,10,80,169.32796955108643
85,180.08639570365784,1440.6911656292627,82.70597076416016,86,15200,121600,82.91520285606384,16.0,8.0,8.0,10,80,171.26265263557434
86,194.5302196840203,1556.2417574721624,83.7340886592865,87,15400,123200,83.68998384475708,16.0,8.0,8.0,10,80,173.11830830574036
87,197.31178647839513,1578.494291827161,84.74771285057068,88,15600,124800,84.49297595024109,16.0,8.0,8.0,10,80,174.98789525032043
88,187.08281025829965,1496.6624820663972,85.81675815582275,89,15800,126400,85.36775851249695,16.0,8.0,8.0,10,80,176.9842050075531
89,192.20538548500846,1537.6430838800677,86.85731172561646,90,16000,128000,86.15147662162781,16.0,8.0,8.0,10,80,178.8776023387909
90,198.89260791003156,1591.1408632802525,87.86287951469421,91,16200,129600,86.93599057197571,16.0,8.0,8.0,10,80,180.71939492225647
91,194.66840311539696,1557.3472249231756,88.89026761054993,92,16400,131200,87.80640482902527,16.0,8.0,8.0,10,80,182.6890103816986
92,200.7187834088327,1605.7502672706617,89.88668656349182,93,16600,132800,88.66054964065552,16.0,8.0,8.0,10,80,184.6200704574585
93,179.6416592820765,1437.133274256612,91.00001406669617,94,16800,134400,89.4588794708252,16.0,8.0,8.0,10,80,186.6110236644745
94,172.42235646951144,1379.3788517560915,92.15995645523071,95,17000,136000,90.19527292251587,16.0,8.0,8.0,10,80,188.56674718856812
95,173.36591527592694,1386.9273222074155,93.31358575820923,96,17200,137600,90.97423386573792,16.0,8.0,8.0,10,80,190.55965185165405
96,187.55778028890032,1500.4622423112025,94.3799238204956,97,17400,139200,91.74260783195496,16.0,8.0,8.0,10,80,192.4748191833496
97,155.84630224411328,1246.7704179529062,95.66323947906494,98,17600,140800,92.58778548240662,16.0,8.0,8.0,10,80,194.69393730163574
98,198.75109580018292,1590.0087664014634,96.66952323913574,99,17800,142400,93.41565752029419,16.0,8.0,8.0,10,80,196.59422159194946
99,187.76109334035857,1502.0887467228686,97.73470664024353,100,18000,144000,94.22609758377075,16.0,8.0,8.0,10,80,198.5729444026947
100,187.23986303999428,1497.9189043199542,98.8028552532196,101,18200,145600,94.99942564964294,16.0,8.0,8.0,10,80,200.46841311454773
101,200.92584941186502,1607.4067952949201,99.79824733734131,102,18400,147200,95.78214526176453,16.0,8.0,8.0,10,80,202.29813885688782
102,184.96710941925463,1479.736875354037,100.87952065467834,103,18600,148800,96.64704132080078,16.0,8.0,8.0,10,80,204.2978539466858
103,189.20636524557153,1513.6509219645723,101.93656754493713,104,18800,150400,97.4897575378418,16.0,8.0,8.0,10,80,206.25306844711304
104,183.30097902024556,1466.4078321619645,103.02766919136047,105,19000,152000,98.41051697731018,16.0,8.0,8.0,10,80,208.3409297466278
105,184.73923990642143,1477.9139192513715,104.110276222229,106,19200,153600,99.26260542869568,16.0,8.0,8.0,10,80,210.34057331085205
106,192.34240152395313,1538.739212191625,105.15008854866028,107,19400,155200,100.14513063430786,16.0,8.0,8.0,10,80,212.34021997451782
107,166.8893819253676,1335.1150554029407,106.34848713874817,108,19600,156800,101.00649428367615,16.0,8.0,8.0,10,80,214.47022986412048
108,170.00807216347965,1360.0645773078372,107.52490186691284,109,19800,158400,101.89480590820312,16.0,8.0,8.0,10,80,216.59636330604553
109,179.14882711725411,1433.190616938033,108.64129209518433,110,20000,160000,102.75680541992188,16.0,8.0,8.0,10,80,218.62816429138184
110,180.91295327401107,1447.3036261920886,109.74679613113403,111,20200,161600,103.55617356300354,16.0,8.0,8.0,10,80,220.58606791496277
111,210.74611731939717,1685.9689385551774,110.695805311203,112,20400,163200,104.37013483047485,16.0,8.0,8.0,10,80,222.42779636383057
112,204.15931060096077,1633.2744848076861,111.67543244361877,113,20600,164800,105.20489144325256,16.0,8.0,8.0,10,80,224.31796431541443
113,178.65131018502743,1429.2104814802194,112.79493165016174,114,20800,166400,106.17657327651978,16.0,8.0,8.0,10,80,226.48092103004456
114,166.723005471171,1333.784043769368,113.99452614784241,115,21000,168000,106.9783365726471,16.0,8.0,8.0,10,80,228.54866671562195
115,182.19880732287078,1457.5904585829662,115.0922281742096,116,21200,169600,107.85167670249939,16.0,8.0,8.0,10,80,230.58925461769104
116,187.5387016457184,1500.3096131657471,116.15867471694946,117,21400,171200,108.6979570388794,16.0,8.0,8.0,10,80,232.5670473575592
117,179.7723605670434,1438.1788845363471,117.27119278907776,118,21600,172800,109.59925651550293,16.0,8.0,8.0,10,80,234.65248322486877
