,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/mean_reward,eval/0/mean_reward,eval/1/mean_reward,eval/episodes,eval/samples,total_time_s
52,179.91772170495932,1439.3417736396746,49.3537232875824,53,8600,68800,58.10952639579773,0.0,0.0,0.0,10,80,111.14112830162048
53,170.58073773058655,1364.6459018446924,50.52618861198425,54,8800,70400,58.983559370040894,10.0,5.0,5.0,10,80,113.27019691467285
54,168.08318111834137,1344.665448946731,51.71607565879822,55,9000,72000,59.82756280899048,0.0,0.0,0.0,10,80,115.37534379959106
55,182.95409314846452,1463.6327451877162,52.80924606323242,56,9200,73600,60.558842420578,4.0,2.0,2.0,10,80,117.2702579498291
56,177.99301744196654,1423.9441395357323,53.93288564682007,57,9400,75200,61.336907625198364,2.0,1.0,1.0,10,80,119.25178122520447
57,173.59401727619522,1388.7521382095617,55.084999084472656,58,9600,76800,62.1333167552948,8.0,4.0,4.0,10,80,121.26067185401917
58,183.05014769732054,1464.4011815785643,56.17759585380554,59,9800,78400,62.84313893318176,2.0,1.0,1.0,10,80,123.11810898780823
59,182.88114154209865,1463.0491323367892,57.27120232582092,60,10000,80000,63.63619351387024,6.0,3.0,3.0,10,80,125.11988568305969
60,174.0294226990281,1392.2353815922247,58.42043328285217,61,10200,81600,64.4059112071991,12.0,6.0,6.0,10,80,127.10660171508789
61,191.9201260156696,1535.3610081253569,59.462533473968506,62,10400,83200,65.09726452827454,10.0,5.0,5.0,10,80,128.90862464904785
62,169.2689716626182,1354.1517733009457,60.64408493041992,63,10600,84800,65.9203290939331,2.0,1.0,1.0,10,80,130.98045587539673
63,195.2405534673168,1561.9244277385344,61.66846227645874,64,10800,86400,66.69932699203491,6.0,3.0,3.0,10,80,132.8537096977234
64,175.85210710604426,1406.816856848354,62.8057816028595,65,11000,88000,67.4697015285492,8.0,4.0,4.0,10,80,134.83364343643188
