,sampling/learner/mean_reward,sampling/learner/learner/mean_reward,sampling/learner/partner/mean_reward,sampling/learner/episodes,sampling/learner/samples,sampling/partner/mean_reward,sampling/partner/response/mean_reward,sampling/partner/partner/mean_reward,sampling/partner/episodes,sampling/partner/samples,sampling/episodes_per_s,sampling/samples_per_s,sampling/total_time_s,total_iterations,total_episodes,total_samples,learning/total_time_s,eval/learner/mean_reward,eval/learner/learner/mean_reward,eval/learner/partner/mean_reward,eval/learner/episodes,eval/learner/samples,eval/partner/mean_reward,eval/partner/response/mean_reward,eval/partner/partner/mean_reward,eval/partner/episodes,eval/partner/samples,total_time_s
45,17.78,8.89,8.89,100,1000,19.66,9.83,9.83,100,1000,245.59669258985895,2455.9669258985896,40.71605896949768,46,9200,92000,18.344751596450806,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,63.45007014274597
46,19.58,9.79,9.79,100,1000,19.56,9.78,9.78,100,1000,204.71458563797478,2047.1458563797478,41.693028926849365,47,9400,94000,18.71186327934265,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,64.88109588623047
47,19.58,9.79,9.79,100,1000,19.64,9.82,9.82,100,1000,229.82601010087174,2298.2601010087174,42.563252449035645,48,9600,96000,19.01649498939514,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,66.13803362846375
48,19.8,9.9,9.9,100,1000,19.48,9.74,9.74,100,1000,222.35060675474872,2223.5060675474874,43.462732791900635,49,9800,98000,19.267040729522705,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,67.3986222743988
49,19.6,9.8,9.8,100,1000,19.68,9.84,9.84,100,1000,221.72076996128627,2217.2076996128626,44.364768266677856,50,10000,100000,19.5783052444458,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,68.72131013870239
50,19.42,9.71,9.71,100,1000,19.66,9.83,9.83,100,1000,217.91382636789595,2179.1382636789594,45.282562255859375,51,10200,102000,19.860107421875,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,70.00414299964905
51,19.6,9.8,9.8,100,1000,19.72,9.86,9.86,100,1000,209.55284893029125,2095.5284893029125,46.23697543144226,52,10400,104000,20.210638761520386,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,71.40371870994568
52,19.62,9.81,9.81,100,1000,19.62,9.81,9.81,100,1000,207.5835761523852,2075.835761523852,47.20044279098511,53,10600,106000,20.636844873428345,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,72.89789271354675
53,19.76,9.88,9.88,100,1000,19.68,9.84,9.84,100,1000,216.8092529591362,2168.0925295913617,48.122912645339966,54,10800,108000,20.957374811172485,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,74.25114417076111
54,19.64,9.82,9.82,100,1000,19.7,9.85,9.85,100,1000,207.46965221920544,2074.696522192054,49.08690905570984,55,11000,110000,21.285603761672974,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,75.633704662323
55,19.42,9.71,9.71,100,1000,19.76,9.88,9.88,100,1000,236.7811166914919,2367.811166914919,49.9315710067749,56,11200,112000,21.548455476760864,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,76.83665060997009
56,2.22,1.11,1.11,100,1000,2.18,1.09,1.09,100,1000,229.8164396156415,2298.164396156415,50.801830768585205,57,11400,114000,21.78996753692627,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,78.03407883644104
57,2.22,1.11,1.11,100,1000,2.02,1.01,1.01,100,1000,207.70863077242302,2077.08630772423,51.7647180557251,58,11600,116000,22.073967456817627,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,79.38021302223206
58,2.22,1.11,1.11,100,1000,2.0,1.0,1.0,100,1000,243.161942870361,2431.61942870361,52.587215185165405,59,11800,118000,22.34664750099182,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,80.56542301177979
59,2.08,1.04,1.04,100,1000,2.24,1.12,1.12,100,1000,195.0714314782194,1950.7143147821942,53.61248064041138,60,12000,120000,22.71233081817627,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,82.04753255844116
60,2.18,1.09,1.09,100,1000,2.24,1.12,1.12,100,1000,251.37652233142316,2513.7652233142317,54.40809988975525,61,12200,122000,22.96636724472046,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,83.16990399360657
61,2.1,1.05,1.05,100,1000,2.18,1.09,1.09,100,1000,237.9323734473329,2379.3237344733293,55.24867486953735,62,12400,124000,23.291996717453003,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,84.40705919265747
62,19.72,9.86,9.86,100,1000,19.92,9.96,9.96,100,1000,246.16713736703596,2461.6713736703596,56.0611310005188,63,12600,126000,23.62432551383972,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,85.65479803085327
63,2.22,1.11,1.11,100,1000,2.12,1.06,1.06,100,1000,232.5046037453034,2325.046037453034,56.92132902145386,64,12800,128000,23.9566810131073,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,86.92806315422058
64,2.18,1.09,1.09,100,1000,2.12,1.06,1.06,100,1000,255.3127872365033,2553.127872365033,57.70468187332153,65,13000,130000,24.337563514709473,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,88.19737029075623
65,2.26,1.13,1.13,100,1000,2.14,1.07,1.07,100,1000,228.479165724726,2284.79165724726,58.58003520965576,66,13200,132000,24.595890045166016,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,89.4149489402771
66,19.62,9.81,9.81,100,1000,19.8,9.9,9.9,100,1000,213.71683399981248,2137.168339998125,59.51585292816162,67,13400,134000,24.90307354927063,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,90.7331132888794
67,19.64,9.82,9.82,100,1000,19.66,9.83,9.83,100,1000,221.8774102424393,2218.7741024243933,60.41725158691406,68,13600,136000,25.167174100875854,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,91.97240471839905
68,19.82,9.91,9.91,100,1000,19.66,9.83,9.83,100,1000,207.49618393495362,2074.961839349536,61.38112473487854,69,13800,138000,25.499916076660156,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,93.3438560962677
69,2.12,1.06,1.06,100,1000,2.2,1.1,1.1,100,1000,242.66104779856312,2426.610477985631,62.20531964302063,70,14000,140000,25.77100157737732,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,94.51511287689209
70,2.08,1.04,1.04,100,1000,2.14,1.07,1.07,100,1000,231.33935724420556,2313.3935724420558,63.0698504447937,71,14200,142000,26.024434804916382,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,95.70515584945679
71,2.08,1.04,1.04,100,1000,2.14,1.07,1.07,100,1000,231.24216947212628,2312.421694721263,63.93474459648132,72,14400,144000,26.290539026260376,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,96.90846276283264
72,2.26,1.13,1.13,100,1000,2.22,1.11,1.11,100,1000,227.08738494856524,2270.8738494856525,64.8154628276825,73,14600,146000,26.598305702209473,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,98.16874051094055
73,2.14,1.07,1.07,100,1000,2.26,1.13,1.13,100,1000,220.91120055534546,2209.1120055534548,65.72080397605896,74,14800,148000,26.85253119468689,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,99.40566182136536
74,2.22,1.11,1.11,100,1000,2.08,1.04,1.04,100,1000,257.81829246178955,2578.1829246178954,66.49654412269592,75,15000,150000,27.217986345291138,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,100.62689900398254
75,2.16,1.08,1.08,100,1000,2.14,1.07,1.07,100,1000,251.0063013335464,2510.063013335464,67.29333686828613,76,15200,152000,27.530587911605835,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,101.81496715545654
76,2.1,1.05,1.05,100,1000,2.24,1.12,1.12,100,1000,200.1645487222658,2001.6454872226582,68.29251480102539,77,15400,154000,27.809847593307495,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,103.20331954956055
77,2.08,1.04,1.04,100,1000,2.18,1.09,1.09,100,1000,204.3258005225178,2043.258005225178,69.27134370803833,78,15600,156000,28.26397442817688,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,104.71625804901123
78,2.08,1.04,1.04,100,1000,2.16,1.08,1.08,100,1000,264.2421653687042,2642.4216536870417,70.02822518348694,79,15800,158000,28.718950033187866,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,106.01211190223694
79,2.16,1.08,1.08,100,1000,2.08,1.04,1.04,100,1000,253.85300228717446,2538.5300228717447,70.81608271598816,80,16000,160000,29.15335512161255,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,107.32781934738159
80,2.2,1.1,1.1,100,1000,2.12,1.06,1.06,100,1000,257.37571277135936,2573.7571277135935,71.5931568145752,81,16200,162000,29.472508668899536,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,108.535973072052
81,2.14,1.07,1.07,100,1000,2.1,1.05,1.05,100,1000,243.3163341371743,2433.1633413717427,72.41513204574585,82,16400,164000,29.733181715011597,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,109.73302793502808
82,2.08,1.04,1.04,100,1000,2.22,1.11,1.11,100,1000,197.92038222196007,1979.2038222196006,73.42563939094543,83,16600,166000,30.0566565990448,20.0,10.0,10.0,10,100,20.0,10.0,10.0,10,100,111.1585648059845
83,19.6,9.8,9.8,100,1000,19.56,9.78,9.78,100,1000,240.5165282917597,2405.165282917597,74.25718307495117,84,16800,168000,30.33442187309265,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,112.34381365776062
84,2.14,1.07,1.07,100,1000,2.2,1.1,1.1,100,1000,238.67025803142036,2386.7025803142037,75.09515929222107,85,17000,170000,30.6179096698761,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,113.57289671897888
85,2.24,1.12,1.12,100,1000,2.12,1.06,1.06,100,1000,256.9943945092722,2569.9439450927216,75.87338638305664,86,17200,172000,30.874290227890015,2.0,1.0,1.0,10,100,2.0,1.0,1.0,10,100,114.70623016357422
